question_no,option,question,letter
92,1,I have worried that I would be left out of others' activities.,F
92,2,I have worries that others' activities would distract me from what I had to do.,D
93,1,"Typically, when I've gotten angry, I've told people off.",G
93,2,"Typically, when I've gotten angry, I've become distant.",C
94,1,I've tended to have trouble falling asleep.,H
94,2,I've tended to fall asleep easily.,A
95,1,I have often tried to figure out how I could get closer to others.,F
95,2,I have often tried to figure out what others want from me.,B
96,1,"I have usually been measured, straight-talking, and deliberate.",G
96,2,"I have usually been excitable, fast-talking, and witty.",I
97,1,"Often, I have not spoken up when I've seen others making a mistake.",E
97,2,"Often, I have helped others see that they are making a mistake.",D
98,1,"During most of my life, I have been a stormy person who has had many volatile feelings.",I
98,2,"During most of my life, I have been a steady person in whom ""still waters run deep"".",A
99,1,"When I have disliked people, I have usually tried hard to stay cordial - despite my feelings.",C
99,2,"When I have disliked people, I have usually let them know it - one way or another.",B
100,1,Much of my difficulty with people has come from my touchiness and taking everything too personally.,E
100,2,Much of my difficulty with people has come from my not caring about social conventions.,H
101,1,My approach has been to jump in and rescue people.,F
101,2,My approach has been to show people how to help themselves.,G
102,1,"Generally, I have enjoyed ""letting go"" and pushing the limits.",I
102,2,"Generally, I have not enjoyed losing control of myself very much.",D
103,1,I've been overly concerned with doing better than others.,C
103,2,I've been overly concerned with making things okay for others.,A
104,1,My thoughts generally have been speculative - involving my imagination and curiosity.,H
104,2,My thoughts generally have been pracitcal - just trying to keep things going.,B
105,1,One of my main assets has been my ability to take charge of situations.,G
105,2,One of my main assets has been my ability to describe internal states.,E
106,1,"I have pushed to get things done correctly, even if it made people uncomfortable.",D
106,2,"I have not liked feeling pressured, so I have not liked pressuring anyone else.",A
107,1,I've often taken pride in how important I am in others' lives.,F
107,2,I've often taken pride in my gusto and opennes to new experiences.,I
108,1,"I have perceived that I've often come across to others as presentable, even admirable.",C
108,2,"I have perceived that I've often come across to others as unusal, even odd.",H
109,1,I have mostly done what I had to do.,B
109,2,I have mostly done what I wanted to do.,E
110,1,"I have usually enjoyed high-pressure, even difficult, situations.",G
110,2,"I have usually disliked being in high-pressure, even difficult, situations. ",A
111,1,I've been proud of my ability to be flexible - what's appropriate or important often changes.,C
111,2,I've been proud of my ability to take a stand - I've been firm about what I believe in.,D
112,1,My style has leaned toward spareness and austerity.,H
112,2,My style has leaned toward excess and overdoing things.,I
113,1,My own health and well-being have suffered because of my strong desire to help others.,F
113,2,My relationships have suffered because of my strong desire to attend to my personal needs.,E
114,1,"Generally speaking, I've been too open and naïve.",A
114,2,"Generally speaking, I've been too wary and guarded.",B
115,1,I have sometimes put people off by being too aggressive.,G
115,2,"I have sometimes put people off by being too ""uptight"".",D
116,1,Being of service and attending to the needs of others has been a high priority for me.,F
116,2,Finding alternative ways of seeing and doing things has been a high priority for me.,H
117,1,I've been single-minded and persistent in pursuing my goals.,C
117,2,I've preferred to explore various courses of action to see where they lead.,I
118,1,"I have frequently been drawn to situations that stir up deep, intense emotions.",E
118,2,I have frequently been drawn to situations that make me feel calm and at ease.,A
119,1,I have cared less about practical results than about pursuing my interests.,H
119,2,I have been practical and have expected my work to have concrete results.,G
120,1,I have had a deep need to belong.,B
120,2,I have had a deep need to feel balanced.,D
121,1,"In the past, I've probably insisted on too much closeness in my friendships.",F
121,2,"In the past, I've probably kept too much distance in my friendships.",C
122,1,I've had a tendency to keep thining about things from the past.,E
122,2,I've had a tendency to keep anticipating things I'm going to do.,I
123,1,I've tended to see people as intrusive and demanding.,H
123,2,I've tended to see people as disorganized and irresponsible.,D
124,1,"Generally, I have no had much confidence in myself.",B
124,2,"Generally, I have had confidence only in myself.",G
125,1,I've probably been too passive and uninvolved.,A
125,2,I've probably been too controlling and manipulative.,F
126,1,I've frequently been stopped in my tracks by my self doubt.,E
126,2,I've rarely let self-doubt stand in my way.,C
127,1,"Given a choice between something familiar and something new, I've usually chosen something new.",I
127,2,I've generally chosen what I knew I already liked: why be disappointed with something I might not like?,B
128,1,I have given a lot of physical contact to reassure others about how I feel about them.,F
128,2,I have generally felt that real love does not depend on physical contact.,D
129,1,"When I've needed to confront someone, I've often been too harsh and direct.",G
129,2,"When I've needed to confront someone, I've often ""beaten around the bush"" too much.",C
130,1,"I have been attracted to subjects that others would probably find disturbing, even frightening.",H
130,2,I have preferred not to spend my time dwelling on disturbing fightening subjects.,A
131,1,I have gotten into trouble with people by being too intrusive and interfering.,F
131,2,I have gotten into trouble with people by being too evasive and uncommunicative.,B
132,1,I've worried that I don't have the resources to fuliff the responsibilities I've taken on.,G
132,2,I've worried that I don't have the self-discipline to focus on what will really fulfill me.,I
133,1,"Generally, I've been a highly intuitive, individualistic person.",E
133,2,"Generally, I've been a highly organized, responsible person.",D
134,1,Overcoming inertia has been one of my main problems.,A
134,2,Being unable to slow down has been one of my main problems.,I
135,1,"When I've felt insecure, I've reacted by becoming arrogant and disimissive.",C
135,2,"When I've felt insecure, I've reacted by becoming defensive and argumentative.",B
136,1,I have generally been open-minded and willing to try new approaches.,H
136,2,I have generally been self-revealing and willing to share my feelings with others.,E
137,1,I've presented myself to others as tougher than I really am.,G
137,2,I've presented myself to others as caring more than I really do.,F
138,1,I usually have followed my conscience and reason.,D
138,2,I usually have followed my feelings and impulses.,I
139,1,Serious adversity has made me feel hardened and resolute.,C
139,2,Serious adversity has made me feel discouraged and resigned.,A
140,1,"I usually have made sure that I had some kind of ""safety net"" to fall back on.",B
140,2,I usually have chosen to live on the edge and to depend on others as little as possible.,H
141,1,"I've had to be strong for others, so I haven't had time to deal with my feelings and fears.",G
141,2,"I've had difficulty coping with my feelings and fears, so it's been hard for me to be strong for others.",E
142,1,I have often wondered why people focus on the negative when there is so much that's wonderful about life.,A
142,2,I have often wondered why people are so happy when so much in life is messed up.,D
143,1,I have tried hard not to be seen as a selfish person.,F
143,2,I have tried hard not to be seen as a boring person.,I
144,1,I have avoided intimacy when I feared I would be overwhelmed by people's needs and demands.,H
144,2,I have avoided intimacy when I feared I would not be able to live up to people's expectations of me.,C
